time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter
652,0,0,0,0.19181924165110345,0.15090962082555173,9.661626212892562,0.03544684856552731
653,0,0,0,0.19358529851384382,0.1517926492569219,9.685256483088455,0.03289286861486457
654,0,0,0,0.19242716371225463,0.15121358185612732,9.673340009995792,0.029749198855120187
655,0,0,0,0.19326793319643853,0.15163396659821926,9.686261940625387,0.029518727139646133
656,0,0,0,0.19380973366472354,0.15190486683236176,9.689605369980068,0.023221489908418193
657,0,0,0,0.19390871916447408,0.15195435958223702,9.692615200227728,0.014208859364944074
658,0,0,0,0.19371918890323903,0.15185959445161953,9.687485503817493,0.01297800713761378
659,0,0,0,0.1938478731197567,0.15192393655987838,9.692301901855352,0.011260621695810156
660,0,0,0,0.1961594373722175,0.15307971868610876,9.72631727748962,0.01648847601750021
661,0,0,0,0.20060859289035393,0.155304296445177,9.79594837756119,0.03585807357993895
662,0,0,0,0.20215211546689146,0.15607605773344574,9.815672615120258,0.04762071206499489
663,0,0,0,0.20141137088339472,0.15570568544169736,9.806471476624449,0.053680833720609535
664,0,0,0,0.20092182172350326,0.15546091086175165,9.800282165903194,0.05458646678210393
665,0,0,0,0.20006696750172293,0.15503348375086146,9.787837735011584,0.05320593085419955
666,0,0,0,0.20052921305912333,0.15526460652956167,9.796030703991637,0.050757912713348216
667,0,0,0,0.19868022430145796,0.154340112150729,9.771690386101218,0.04551823063853768
668,0,0,0,0.20098149484351957,0.1554907474217598,9.800988024044857,0.03746407713205388
669,0,0,0,0.20351805621159982,0.15675902810579992,9.838009222717922,0.027883429555357643
670,0,0,0,0.20245665013663483,0.1562283250683174,9.821528838798573,0.0174915363787722
671,0,0,0,0.20229860918279546,0.15614930459139773,9.821785812074875,0.018091207417048248
672,0,0,0,0.2019557154003838,0.1559778577001919,9.817102186082083,0.018172307592547902
673,0,0,0,0.20079046591389388,0.15539523295694696,9.803280259841241,0.018192267319328426
674,0,0,0,0.20133435982930098,0.1556671799146505,9.812934460339187,0.018200761620954107
675,0,0,0,0.1999744431945899,0.15498722159729497,9.797858192517538,0.017368466847518187
676,0,0,0,0.20033842816784866,0.15516921408392437,9.806420545565333,0.016919106919186546
677,0,0,0,0.2011165423112983,0.15555827115564919,9.81613423213783,0.01144431129145908
678,0,0,0,0.1999991377639509,0.15499956888197547,9.802118969182,0.01132403368050076
679,0,0,0,0.2041867399830217,0.15709336999151086,9.861799906530894,0.01716851362707081
680,0,0,0,0.2064384253391257,0.15821921266956288,9.897221815402855,0.029877192974878758
681,0,0,0,0.2063142173104361,0.15815710865521806,9.891830604379718,0.03616457964402068
682,0,0,0,0.2069557626326161,0.15847788131630808,9.900239505943741,0.04128365040620914
683,0,0,0,0.20349640290222287,0.15674820145111146,9.846074392236117,0.03954212139060392
684,0,0,0,0.20475672619053562,0.15737836309526781,9.865032725761848,0.03862440163012963
685,0,0,0,0.2063561113087221,0.15817805565436108,9.8882157272842,0.036220995516393274
686,0,0,0,0.20343066815122554,0.15671533407561278,9.841749027941553,0.032608515253815314
687,0,0,0,0.2018441622917621,0.15592208114588108,9.819011035681541,0.032221454339620585
688,0,0,0,0.2006215294668111,0.15531076473340558,9.801482176756679,0.03233882437958436
689,0,0,0,0.20184341718213816,0.1559217085910691,9.818575831418178,0.03477542573275389
690,0,0,0,0.2009653747415494,0.15548268737077472,9.808374872222048,0.03469935878113019
691,0,0,0,0.20008217983759974,0.1550410899187999,9.79272181207494,0.034934752708231744
692,0,0,0,0.20180370202323716,0.1559018510116186,9.817956135462149,0.028424677379606515
693,0,0,0,0.20049480594586058,0.1552474029729303,9.792854904111824,0.029848252427848335
694,0,0,0,0.2027051738840026,0.15635258694200133,9.828982874315004,0.026764605657023682
695,0,0,0,0.20321371350625858,0.1566068567531293,9.834616061296272,0.015946101137904085
696,0,0,0,0.20539317754171757,0.1576965887708588,9.86826743163752,0.02135608405937986
697,0,0,0,0.2053515676012181,0.15767578380060904,9.870648393112042,0.02652480028955131
698,0,0,0,0.20439499261016433,0.15719749630508217,9.858888736755809,0.0273489337424253
699,0,0,0,0.20345143450838538,0.1567257172541927,9.84471659596397,0.02745867824735783
700,0,0,0,0.19705986959417737,0.1535299347970887,9.742719207867856,0.03807327102877341
701,0,0,0,0.19440701434928398,0.15220350717464198,9.70455154350079,0.052178654606936124
