time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption,reactive_migrations,proactive_migrations
350,0,0,0,0.34735343508628486,0.27314740456039943,9.131209389112621,0.6845859972002865,608.4120610517709,0,0
351,0,0,0,0.3944724318051144,0.3061307022635801,9.476598153073724,0.6606183240516067,636.6834590830686,0,0
352,0,0,0,0.25171018939852996,0.20328358743718467,8.471756112040087,0.5270242525742077,551.026113639118,0,0
353,0,0,0,0.42721241707780994,0.32904869195446695,9.73346570173057,0.5122503501094142,656.3274502466859,0,0
354,0,0,0,0.3328819726846697,0.26301738087926874,9.077192962966842,0.5054914716665726,599.7291836108018,0,0
355,0,0,0,0.32907596906886416,0.26035317834820493,9.064418337968489,0.4597691266304148,597.4455814413185,0,0
356,0,0,0,0.30397101252595665,0.24277970876816962,8.90113950108464,0.46145113327977255,582.3826075155739,0,0
357,0,0,0,0.253514867457065,0.1999604072199455,8.544203391576094,0.4500219667434839,552.108920474239,0,0
358,0,0,0,0.2509658718926943,0.1975457704877876,8.541442894488085,0.43348279947531365,550.5795231356167,0,0
359,0,0,0,0.24083451758235747,0.18858416230765024,8.491168532711477,0.41545118864426034,544.5007105494144,0,0
360,0,0,0,0.25282685319095366,0.1994787972336676,8.583330447581458,0.4231079681844896,551.6961119145722,0,0
361,0,0,0,0.3025087144938574,0.23913490710013088,8.970092069091816,0.3775338061966594,581.5052286963145,0,0
362,0,0,0,0.29836707465696316,0.23416983720816292,8.955393722314593,0.3580149524751727,579.0202447941779,0,0
363,0,0,0,0.2618943129004783,0.20582601903033484,8.699647802556791,0.22176116689078632,557.136587740287,0,0
364,0,0,0,0.22915256136287948,0.18040679295401565,8.48712269393791,0.2139446686452376,537.4915368177277,0,0
365,0,0,0,0.22832892012817055,0.1798302440897194,8.495816196185464,0.19009037789548502,536.9973520769023,0,0
366,0,0,0,0.2136094962138569,0.16952664734969983,8.416828754204673,0.18590048843031257,528.1656977283142,0,0
367,0,0,0,0.21894394060569286,0.17326075842398503,8.463988924251755,0.19060454152096662,531.3663643634158,0,0
368,0,0,0,0.2097381262535995,0.16681668837751967,8.419300217739575,0.19839188465469862,525.8428757521597,0,0
369,0,0,0,0.2232337347037106,0.17784660767940114,8.51733270811294,0.19713069754809842,533.9402408222263,0,0
370,0,0,0,0.24512032866616526,0.1940842300663157,8.694908210010047,0.19897042047848212,547.0721971996991,0,0
371,0,0,0,0.18005458651285014,0.14603821055899513,8.27022708568025,0.18318033406993245,508.0327519077101,0,0
372,0,0,0,0.18086301192479043,0.14660410834735332,8.287134660068697,0.13602609725596523,508.5178071548743,0,0
373,0,0,0,0.1764413846615583,0.1435089692630908,8.27059880453847,0.12575129640894278,505.86483079693494,0,0
374,0,0,0,0.25336238349172263,0.19985366844420585,8.822802216268474,0.1721438137979999,552.0174300950335,0,0
375,0,0,0,0.2114224937252355,0.17049574560766487,8.525287953148426,0.1728815735676245,526.8534962351413,0,0
376,0,0,0,0.1673169768838414,0.137121883818689,8.243675670921522,0.18543902537934642,500.39018613030487,0,0
377,0,0,0,0.17540548232217823,0.14278383762552477,8.303552588373131,0.19053688139857436,505.2432893933069,0,0
378,0,0,0,0.182727541621371,0.14943766476643877,8.357906311251657,0.1919432857313782,509.6365249728226,0,0
379,0,0,0,0.1723315427459816,0.14063207992218713,8.299909224405905,0.19305587297460367,503.39892564758895,0,0
380,0,0,0,0.20319757094664131,0.1647382996626489,8.533303279614659,0.17416930859875052,521.9185425679848,0,0
381,0,0,0,0.23076116938638663,0.18403281857047069,8.750861895848425,0.19868070846222763,538.456701631832,0,0
382,0,0,0,0.17046182342331123,0.14182327639631787,8.311550346393972,0.19693562004122606,502.27709405398673,0,0
383,0,0,0,0.23390598432632373,0.18623418902842662,8.795320357063764,0.21349892676477175,540.3435905957942,0,0
384,0,0,0,0.19691770266450004,0.16034239186515004,8.528285161770878,0.18451397796519048,518.1506215987,0,0
385,0,0,0,0.2595812482224806,0.20420687375573643,9.004371221150961,0.24593128072785947,555.7487489334883,0,0
386,0,0,0,0.16571385088328122,0.13849969561829686,8.31071483023982,0.2393267987346076,499.4283105299687,0,0
387,0,0,0,0.184594375340746,0.1517160627385222,8.45790301734918,0.22967971898460307,510.75662520444763,0,0
388,0,0,0,0.2069767785222465,0.16738374496557254,8.630207471945202,0.22311619985467943,524.1860671133478,0,0
389,0,0,0,0.2742170107509771,0.214451907525684,9.136398836771779,0.26242586547135316,564.5302064505862,0,0
390,0,0,0,0.22604189850268008,0.18072932895187604,8.779754446486075,0.26226754318637624,535.625139101608,0,0
391,0,0,0,0.29379968791917316,0.233377083508385,9.287662450233462,0.32146837329303113,576.279812751504,0,0
392,0,0,0,0.26001623243854033,0.20451136270697828,9.036308060328235,0.301330235542413,556.0097394631242,0,0
393,0,0,0,0.18653540315528389,0.15307478220869875,8.487455313831147,0.3153009399148793,511.92124189317036,0,0
394,0,0,0,0.22193361128328756,0.1778535278983013,8.750475520885702,0.3054479288633515,533.1601667699725,0,0
395,0,0,0,0.38879625302603327,0.3021573771182233,9.954450047049018,0.4643566366456306,633.2777518156199,0,0
396,0,0,0,0.3102643571895636,0.24718505003269453,9.391213641904615,0.443847549326205,586.1586143137382,0,0
397,0,0,0,0.28524992098035584,0.2296749446862491,9.206852732295701,0.40939467206365393,571.1499525882135,0,0
398,0,0,0,0.3378785139050169,0.26651495973351186,9.572685534085778,0.4066794610491631,602.7271083430102,0,0
